match_id,match_name,date,stage,team,opponent,goals_for,goals_against,match_result,completed_passes,unique_passing_pairs,num_players,network_density,most_involved_player,top_player_reliance,top_connection,top_connection_count,final_third_entries,advanced_from_group,reached_qf,stage_reached
3857289,Argentina vs Mexico,2022-11-26,group,Mexico,Argentina,0,2,L,304,99,15,0.4714,César Jasib Montes Castro,0.1612,Razo → Castro,19,17,0,0,Group Stage
3869254,Portugal vs Switzerland,2022-12-06,R16,Portugal,Switzerland,6,1,W,404,138,16,0.575,William Silva de Carvalho,0.1324,Carvalho → Ferreira,13,20,1,1,Quarter-final
3869254,Portugal vs Switzerland,2022-12-06,R16,Switzerland,Portugal,1,6,L,438,134,16,0.5583,Granit Xhaka,0.1427,Fernandes → Shaqiri,16,27,1,0,Round of 16
3869118,England vs Senegal,2022-12-04,R16,England,Senegal,3,0,W,536,129,16,0.5375,John Stones,0.1521,Walker → Stones,22,37,1,1,Quarter-final
3869118,England vs Senegal,2022-12-04,R16,Senegal,England,0,3,L,323,119,16,0.4958,Nampalys Mendy,0.1455,Jakobs → Sarr,10,16,1,0,Round of 16
3869519,Argentina vs Croatia,2022-12-13,SF,Argentina,Croatia,3,0,W,358,121,16,0.5042,Enzo Fernandez,0.1187,Otamendi → Fernandez,11,22,1,1,Final
3869519,Argentina vs Croatia,2022-12-13,SF,Croatia,Argentina,0,3,L,559,140,16,0.5833,Mateo Kovačić,0.1512,Kovačić → Modrić,22,38,1,1,3rd Place
3869354,England vs France,2022-12-10,QF,England,France,1,2,L,465,102,14,0.5604,Harry Maguire,0.1774,Maguire → Stones,28,29,1,1,Quarter-final
3869354,England vs France,2022-12-10,QF,France,England,2,1,W,328,87,11,0.7909,Aurélien Djani Tchouaméni,0.1176,Koundé → Dembélé,13,36,1,1,Final
3869552,France vs Morocco,2022-12-14,SF,France,Morocco,2,0,W,316,97,13,0.6218,Raphaël Varane,0.1646,Konaté → Varane,20,20,1,1,Final
3869552,France vs Morocco,2022-12-14,SF,Morocco,France,0,2,L,529,117,16,0.4875,Jawad El Yamiq,0.1607,Ziyech → Mouh,23,37,1,1,3rd Place
3869420,Croatia vs Brazil,2022-12-09,QF,Croatia,Brazil,1,1,D,639,121,15,0.5762,Luka Modrić,0.162,Brozović → Modrić,27,49,1,1,3rd Place
3869420,Croatia vs Brazil,2022-12-09,QF,Brazil,Croatia,1,1,D,652,129,16,0.5375,Marcos Aoás Corrêa,0.1388,Corrêa → Silva,27,57,1,1,Quarter-final
3869220,Morocco vs Spain,2022-12-06,R16,Morocco,Spain,0,0,D,250,101,16,0.4208,Azzedine Ounahi,0.144,Mouh → Ounahi,12,19,1,1,3rd Place
3869220,Morocco vs Spain,2022-12-06,R16,Spain,Morocco,0,0,D,960,142,17,0.5221,Rodrigo Hernández Cascante,0.2052,Cascante → Laporte,68,101,1,0,Round of 16
3869219,Japan vs Croatia,2022-12-05,R16,Japan,Croatia,1,1,D,436,131,16,0.5458,Wataru Endo,0.1273,Tomiyasu → Endo,14,37,1,0,Round of 16
3869219,Japan vs Croatia,2022-12-05,R16,Croatia,Japan,1,1,D,657,136,17,0.5,Marcelo Brozović,0.1796,Gvardiol → Lovren,26,55,1,1,3rd Place
3869253,Brazil vs South Korea,2022-12-05,R16,Brazil,South Korea,4,1,W,566,129,16,0.5375,Thiago Emiliano da Silva,0.1405,Silva → Silva,28,40,1,1,Quarter-final
3869253,Brazil vs South Korea,2022-12-05,R16,South Korea,Brazil,1,4,L,476,142,15,0.6762,Min Jae Kim,0.1282,Kim → Kim,14,37,1,0,Round of 16
3869152,France vs Poland,2022-12-04,R16,France,Poland,3,1,W,505,123,15,0.5857,Aurélien Djani Tchouaméni,0.1317,Koundé → Dembélé,18,44,1,1,Final
3869152,France vs Poland,2022-12-04,R16,Poland,France,1,3,L,406,111,16,0.4625,Jakub Piotr Kiwior,0.1675,Glik → Kiwior,18,29,1,0,Round of 16
3869117,Netherlands vs United States,2022-12-03,R16,Netherlands,United States,3,1,W,332,111,14,0.6099,Virgil van Dijk,0.1161,Timber → Dumfries,11,20,1,1,Quarter-final
3869117,Netherlands vs United States,2022-12-03,R16,United States,Netherlands,1,3,L,499,134,15,0.6381,Tyler Adams,0.1404,Ream → Zimmerman,27,38,1,0,Round of 16
3857270,Portugal vs Uruguay,2022-11-28,group,Portugal,Uruguay,2,0,W,525,136,16,0.5667,William Silva de Carvalho,0.1086,Cancelo → Fernandes,16,29,1,1,Quarter-final
3857270,Portugal vs Uruguay,2022-11-28,group,Uruguay,Portugal,0,2,L,324,130,16,0.5417,Rodrigo Bentancur Colmán,0.1389,Colmán → Dipetta,10,23,0,0,Group Stage
